"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_zfbubusik_ckUTCesFTE","The beginning of the server log:","The beginning of the server log:","Začátek protokolu serveru:","Starten des Serverprotokolls:","Начало журнала сервера:","Początek dziennika serwera:","A szervernapló kezdete:","Inizio del log del server:","Inicio del registro del servidor:","Démarrer le journal du serveur:","服务器日志的开头:","サーバーログの先頭:","Iniciar o registo do servidor:","服务器日志的开头:"
"STR_zfbubusik_gngARrnnjntYEr","if you have any questions, write to the zfbubusik discord","if you have any questions, write to the zfbubusik discord","pro všechny dotazy pište na Diskord zfbubusik","schreiben Sie für alle Fragen an den Zfbubusik-Diskordanten","по всяким вопросам пишите в дискорд zfbubusik","w razie jakichkolwiek pytań piszcie do Discord zfbubusik","ha bármilyen kérdése van, írjon a zfbubusik discordnak","per qualsiasi domanda, Scrivi alla Discord zfbubusik","para cualquier pregunta, escriba al Discord zfbubusik","pour toutes les questions, écrivez à discord zfbubusik","如果您有任何问题，请写信给zfbubusik discord","質問がある場合は、zfbubusik discordに書いてください","para qualquer dúvida, escreva para o Discord zfbubusik","如果您有任何问题，请写信给zfbubusik discord"
"STR_zfbubusik_LOQBRAAtHrOiJYG","From a distance","From a distance","z dálky","aus der Entfernung","с расстояния","z odległości","Távolról","dalla distanza","desde la distancia","de la distance","距离","遠くから","à distância","距离"
"STR_zfbubusik_FwtjIsedkJfFcT","meters","meters","metrů","Meter","м.","metr","méter","metro","metros","mètres","米","メーター","metro","米"
"STR_zfbubusik_QbceRIecKlePev","destroyed","destroyed","zmařený","zerschmettert","уничтожен","zniszczony","megsemmisült","distrutto","destruido","détruit","被摧毁","破壊された","aniquilado","被摧毁"
"STR_zfbubusik_mdqshRbnYLcJZo","Received damage","Took damage","způsobil škodu","erlitt einen Schaden","получил урон","otrzymał obrażenia","Kapott kár","ha subito danni","recibió daño","a subi des dégâts","受到伤害","ダメージを受けた","recebeu danos","受到伤害"
"STR_zfbubusik_IpsnJaGbwJpZwEx","damage","damage","poškození","schaden","урона","obrażenia","kár","danno","daño","dégâts","伤害","ダメージ","Dano","伤害"
"STR_zfbubusik_AehyVbUdJsCo","Auto","Auto","Auto","Auto","Авто","Auto","Autó","Auto","Auto","Auto","汽车","オート","Auto","汽车"
"STR_zfbubusik_pgygTyJkQi","initialized by coordinates","initialized by coordinates","inicializováno podle souřadnic","an Koordinaten initialisiert","инициализировано по координатам","zainicjowane według współrzędnych","koordinátákkal inicializálva","inizializzato per coordinate","inicializado por coordenadas","initialisé par coordonnées","由坐标初始化","座標によって初期化されます","inicializado por coordenadas","由坐标初始化"
"STR_zfbubusik_IeIMdGVxtPRGuV","disappeared from the game world by coordinates","disappeared from the game world by coordinates","zmizel z herního světa podle souřadnic","nach Koordinaten aus der Spielwelt verschwunden","исчезло из игрового мира по координатам","zniknął ze świata gry według współrzędnych","koordinátákkal eltűnt a játékvilágból","scomparso dal mondo di gioco per coordinate","desapareció del mundo del juego en las coordenadas","disparu du monde du jeu par coordonnées","通过坐标从游戏世界中消失","座標によってゲームの世界から姿を消した","desapareceu do mundo do jogo por coordenadas","通过坐标从游戏世界中消失"
"STR_zfbubusik_XHJMohKarRgwtH","made","made","skládat","made","сделал","wykonane","készült","fare","hecho","fait","制作","製","feito","制作"
"STR_zfbubusik_QexySskHNbCrrsB","using","using","používat","verwendend","используя","używać","használata","utilizzante","utilizado","utilisant","使用","を使用して","utilizar","使用"
"STR_zfbubusik_bmRRWCGbYZxqodf","and","and","a","und","и","i","és","anche","e","et","和","と","que","和"
"STR_zfbubusik_GwfokfoacrKaB","infected","infected","nakazil se","sich infizieren","заразился","zarazić się","fertőzött","contratto","contagie","contractas","受感染","感染した","pegar","受感染"
"STR_zfbubusik_JAYZyykQEx","got rid of","got rid of","zbavil se","losgeworden","избавился от","pozbył się","megszabadult","si è sbarazzato di","se deshizo de","débarrassé de","摆脱了","を取り除きました","livrou-se de","摆脱了"
"STR_zfbubusik_BTPTzPlubmZws","broke a leg","broke a leg","zlomil si nohu","ein Bein gebrochen","сломал ногу","złamał nogę","eltörte a lábát","si è rotto una gamba","se rompió una pierna","cassé une jambe","断了一条腿","足を折った","partiu uma perna","断了一条腿"
"STR_zfbubusik_xexeqcPkpIayabs","cured a broken leg","cured a broken leg","vyléčil zlomenou nohu","ein gebrochenes Bein geheilt","вылечил сломанную ногу","wyleczył złamaną nogę","meggyógyult egy törött láb","guarito una gamba rotta","curó una pierna rota","guéri une jambe cassée","治好了一条断腿","骨折した足を治した","curou uma perna quebrada","治好了一条断腿"
"STR_zfbubusik_FalaKnZNqgeKi","Lost consciousness","Lost consciousness","omdlít","die Besinnung verlieren","потерял сознание","zemdlały","Elveszett tudat","perdere conoscenza","perder el conocimiento","perdre connaissance","失去意识","失われた意識","desmaiou.","失去意识"
"STR_zfbubusik_VTPHzIZUzPifjy","regained consciousness","regained consciousness","nabyl vědomí","zur Besinnung kommen","пришёл в сознание","odzyskałem przytomność","visszanyerte az eszméletét","ripreso conoscenza","recuperó la conciencia","reprendre conscience","恢复意识","意識を取り戻した","recuperei a consciência.","恢复意识"
"STR_zfbubusik_PzFmKaiLLR","was killed.","was killed.","byl zabit.","wurde getötet.","был убит.","został zabity.","megölték.","è stato ucciso.","fue asesinado.","a été tué.","被杀了","殺された","foi morto.","被杀了"
"STR_zfbubusik_GodPZXIxrq","Distance","Distance","Vzdálenost","Abstand","Расстояние","Odległość","Távolság","Distanza","Distancia","Distance","距离","距離","Distância","距离"
"STR_zfbubusik_PVrhkIGKVRMTsv","Cause of death","Cause of death","Příčina smrti","Todesursache","Причина смерти","Przyczyna śmierci","A halál oka","Causa di morte","Causa de muerte","Cause de décès","死亡原因","死の原因","Causa da morte","死亡原因"
